wilaya_id,wilaya_name,commune_latin,commune_ar
4,"Oum El Bouaghi","El Fedjoudj Boughrara Sa",
4,"Oum El Bouaghi","El Harmilia",
4,"Oum El Bouaghi",Fkirina,
4,"Oum El Bouaghi","Hanchir Toumghani",
4,"Oum El Bouaghi","Ksar Sbahi",
4,"Oum El Bouaghi",Meskiana,
4,"Oum El Bouaghi","Oued Nini",
4,"Oum El Bouaghi","Ouled Gacem",
4,"Oum El Bouaghi","Ouled Hamla",
4,"Oum El Bouaghi","Ouled Zouai",
4,"Oum El Bouaghi","Oum El Bouaghi",
4,"Oum El Bouaghi",Rahia,
4,"Oum El Bouaghi",Sigus,
4,"Oum El Bouaghi","Souk Naamane",
4,"Oum El Bouaghi",Zorg,
5,Batna,"Ain Djasser",
5,Batna,"Ain Touta",
5,Batna,"Ain Yagout",
5,Batna,Arris,
5,Batna,"Azil Abedelkader",
5,Batna,Barika,
5,Batna,Batna,
5,Batna,"Beni Foudhala El Hakania",
5,Batna,Bitam,
5,Batna,Boulhilat,
5,Batna,Boumagueur,
5,Batna,Boumia,
5,Batna,Bouzina,
5,Batna,Chemora,
5,Batna,Chir,
5,Batna,Djerma,
5,Batna,Djezzar,
5,Batna,"El Hassi",
5,Batna,"El Madher",
5,Batna,Fesdis,
5,Batna,"Foum Toub",
5,Batna,Ghassira,
5,Batna,Gosbat,
5,Batna,Guigba,
5,Batna,Hidoussa,
5,Batna,Ichmoul,
5,Batna,Inoughissen,
5,Batna,Kimmel,
5,Batna,"Ksar Bellezma",
5,Batna,Larbaa,
5,Batna,Lazrou,
5,Batna,Lemsane,
5,Batna,"M Doukal",
5,Batna,Maafa,
5,Batna,Menaa,
5,Batna,Merouana,
5,Batna,"N Gaous",
5,Batna,"Oued Chaaba",
5,Batna,"Oued El Ma",
5,Batna,"Oued Taga",
5,Batna,"Ouled Ammar",
5,Batna,"Ouled Aouf",
5,Batna,"Ouled Fadel",
5,Batna,"Ouled Sellem",
5,Batna,"Ouled Si Slimane",
5,Batna,"Ouyoun El Assafir",
5,Batna,Rahbat,
5,Batna,"Ras El Aioun",
5,Batna,Sefiane,
5,Batna,Seggana,
5,Batna,Seriana,
5,Batna,"T Kout",
5,Batna,Talkhamt,
5,Batna,Taxlent,
5,Batna,Tazoult,
5,Batna,"Teniet El Abed",
5,Batna,Tighanimine,
5,Batna,Tigharghar,
5,Batna,Tilatou,
5,Batna,Timgad,
5,Batna,"Zanet El Beida",
6,Béjaïa,Adekar,
6,Béjaïa,"Ait R'zine",
6,Béjaïa,"Ait Smail",
6,Béjaïa,Akbou,
6,Béjaïa,Akfadou,
6,Béjaïa,Amalou,
6,Béjaïa,Amizour,
6,Béjaïa,Aokas,
6,Béjaïa,Barbacha,
6,Béjaïa,Bejaia,
6,Béjaïa,"Beni Dejllil",
6,Béjaïa,"Beni K'sila",
6,Béjaïa,"Beni Mallikeche",
6,Béjaïa,Benimaouche,
6,Béjaïa,Boudjellil,
6,Béjaïa,Bouhamza,
6,Béjaïa,Boukhelifa,
6,Béjaïa,Chellata,
6,Béjaïa,Chemini,
6,Béjaïa,Darghina,
6,Béjaïa,"Dra El Caid",
6,Béjaïa,"El Kseur",
6,Béjaïa,"Fenaia Il Maten",
6,Béjaïa,Feraoun,
6,Béjaïa,"Ighil Ali",
6,Béjaïa,Ighram,
6,Béjaïa,Kendira,
6,Béjaïa,Kherrata,
6,Béjaïa,Leflaye,
6,Béjaïa,M'cisna,
6,Béjaïa,Melbou,
6,Béjaïa,"Oued Ghir",
6,Béjaïa,Ouzellaguene,
6,Béjaïa,Seddouk,
6,Béjaïa,"Sidi Aich",
6,Béjaïa,"Sidi Ayad",
6,Béjaïa,Smaoun,
6,Béjaïa,"Souk El Tenine",
6,Béjaïa,"Souk Oufella",
6,Béjaïa,"Tala Hamza",
6,Béjaïa,Tamokra,
6,Béjaïa,Tamridjet,
6,Béjaïa,"Taourit Ighil",
6,Béjaïa,Taskriout,
6,Béjaïa,Tazmalt,
6,Béjaïa,Tibane,
6,Béjaïa,Tichy,
6,Béjaïa,Tifra,
6,Béjaïa,Timezrit,
6,Béjaïa,Tinebdar,
6,Béjaïa,"Tizi N'berber",
6,Béjaïa,Toudja,
7,Biskra,"Ain Naga",
7,Biskra,"Ain Zaatout",
7,Biskra,Biskra,
7,Biskra,"Bordj Ben Azzouz",
7,Biskra,Bouchagroun,
7,Biskra,Branis,
7,Biskra,Chetma,
7,Biskra,Djemorah,
7,Biskra,"El Feidh",
7,Biskra,"El Ghrous",
7,Biskra,"El Hadjab",
7,Biskra,"El Haouch",
7,Biskra,"El Kantara",
7,Biskra,"El Outaya",
7,Biskra,Foughala,
7,Biskra,"Khenguet Sidi Nadji",
7,Biskra,Lichana,
7,Biskra,Lioua,
7,Biskra,M'chouneche,
7,Biskra,M'lili,
7,Biskra,Mekhadma,
7,Biskra,Meziraa,
7,Biskra,Oumache,
7,Biskra,Ourlal,
7,Biskra,"Sidi Okba",
7,Biskra,Tolga,
7,Biskra,"Zeribet El Oued",
8,Béchar,Abadla,
8,Béchar,Bechar,
8,Béchar,"Beni Ounif",
8,Béchar,Boukais,
8,Béchar,"Erg Ferradj",
8,Béchar,Kenadsa,
8,Béchar,Lahmar,
8,Béchar,"Mechraa H.boumediene",
8,Béchar,Meridja,
8,Béchar,Mogheul,
8,Béchar,Taghit,
9,Blida,"Ain Romana",
9,Blida,"Beni Mered",
9,Blida,"Beni Tamou",
9,Blida,Benkhelil,
9,Blida,Blida,
9,Blida,Bouarfa,
9,Blida,Boufarik,
9,Blida,Bougara,
9,Blida,Bouinan,
9,Blida,Chebli,
9,Blida,Chiffa,
9,Blida,Chrea,
9,Blida,Djebabra,
9,Blida,"El Affroun",
9,Blida,Guerrouaou,
9,Blida,"Hammam Melouane",
9,Blida,Larbaa,
9,Blida,Meftah,
9,Blida,Mouzaia,
9,Blida,"Oued Djer",
9,Blida,"Oued El Alleug",
9,Blida,"Ouled Slama",
9,Blida,"Ouled Yaich",
9,Blida,Souhane,
9,Blida,Souma,
10,Bouira,Aghbalou,
10,Bouira,"Ahl El Ksar",
10,Bouira,"Ain Bessem",
10,Bouira,"Ain El Hadjar",
10,Bouira,"Ain Laloui",
10,Bouira,"Ain Turk",
10,Bouira,"Ait Laaziz",
10,Bouira,Aomar,
10,Bouira,Bechloul,
10,Bouira,"Bir Ghbalou",
10,Bouira,"Bordj Okhriss",
10,Bouira,Bouderbala,
10,Bouira,Bouira,
10,Bouira,Boukram,
10,Bouira,Chorfa,
10,Bouira,Dechmia,
10,Bouira,Dirah,
10,Bouira,Djebahia,
10,Bouira,"El Adjiba",
10,Bouira,"El Asnam",
10,Bouira,"El Hachimia",
10,Bouira,"El Hakimia",
10,Bouira,"El Khabouzia",
10,Bouira,"El Mokrani",
10,Bouira,Guerrouma,
10,Bouira,"Hadjera Zerga",
10,Bouira,Haizer,
10,Bouira,Hanif,
10,Bouira,Kadiria,
10,Bouira,Lakhdaria,
10,Bouira,"M Chedallah",
10,Bouira,Maala,
10,Bouira,Mamora,
10,Bouira,Mezdour,
10,Bouira,"Oued El Berdi",
10,Bouira,"Ouled Rached",
10,Bouira,Raouraoua,
10,Bouira,Ridane,
10,Bouira,Saharidj,
10,Bouira,"Souk El Khemis",
10,Bouira,"Sour El Ghozlane",
10,Bouira,Taghzout,
10,Bouira,Taguedite,
10,Bouira,Taourirt,
10,Bouira,Z'barbar,
11,Tamanrasset,Abalessa,
11,Tamanrasset,"Ain Amguel",
11,Tamanrasset,Idles,
11,Tamanrasset,Tamanrasset,
11,Tamanrasset,Tazrouk,
12,Tébessa,"Ain Zerga",
12,Tébessa,Bedjene,
12,Tébessa,Bekkaria,
12,Tébessa,"Bir Dheheb",
12,Tébessa,"Bir El Ater",
12,Tébessa,"Bir Mokkadem",
12,Tébessa,Boukhadra,
12,Tébessa,"Boulhaf Dyr",
12,Tébessa,Cheria,
12,Tébessa,"El Aouinet",
12,Tébessa,"El Houidjbet",
12,Tébessa,"El Kouif",
12,Tébessa,"El Malabiod",
12,Tébessa,"El Meridj",
12,Tébessa,"El Mezeraa",
12,Tébessa,"El Ogla",
12,Tébessa,"El Ogla El Malha",
12,Tébessa,Ferkane,
12,Tébessa,Guorriguer,
12,Tébessa,Hammamet,
12,Tébessa,Morssot,
12,Tébessa,Negrine,
12,Tébessa,Ouenza,
12,Tébessa,"Oum Ali",
12,Tébessa,"Saf Saf El Ouesra",
12,Tébessa,"Stah Guentis",
12,Tébessa,Tebessa,
12,Tébessa,Telidjen,
13,Tlemcen,"Ain Fettah",
13,Tlemcen,"Ain Fezza",
13,Tlemcen,"Ain Ghoraba",
13,Tlemcen,"Ain Kebira",
13,Tlemcen,"Ain Nehala",
13,Tlemcen,"Ain Tallout",
13,Tlemcen,"Ain Youcef",
13,Tlemcen,Amieur,
13,Tlemcen,Azails,
13,Tlemcen,"Bab El Assa",
13,Tlemcen,"Beni Bahdel",
13,Tlemcen,"Beni Boussaid",
13,Tlemcen,"Beni Khaled",
13,Tlemcen,"Beni Mester",
13,Tlemcen,"Beni Ouarsous",
13,Tlemcen,"Beni Smiel",
13,Tlemcen,"Beni Snous",
13,Tlemcen,Bensekrane,
13,Tlemcen,Bouhlou,
13,Tlemcen,Bouihi,
13,Tlemcen,Chetouane,
13,Tlemcen,"Dar Yaghmouracene",
13,Tlemcen,Djebala,
13,Tlemcen,"El Aricha",
13,Tlemcen,"El Fehoul",
13,Tlemcen,"El Gor",
13,Tlemcen,Fellaoucene,
13,Tlemcen,Ghazaouet,
13,Tlemcen,"Hammam Boughrara",
13,Tlemcen,Hennaya,
13,Tlemcen,Honaine,
13,Tlemcen,Maghnia,
13,Tlemcen,Mansourah,
13,Tlemcen,"Marsa Ben M'hidi",
13,Tlemcen,"Msirda Fouaga",
13,Tlemcen,Nedroma,
13,Tlemcen,"Oued Chouly",
13,Tlemcen,"Ouled Mimoun",
13,Tlemcen,"Ouled Riyah",
13,Tlemcen,Remchi,
13,Tlemcen,Sabra,
13,Tlemcen,"Sebbaa Chioukh",
13,Tlemcen,Sebdou,
13,Tlemcen,"Sidi Abdelli",
13,Tlemcen,"Sidi Djilali",
13,Tlemcen,"Sidi Medjahed",
13,Tlemcen,Souahlia,
13,Tlemcen,Souani,
13,Tlemcen,"Souk Tleta",
13,Tlemcen,"Terny Beni Hediel",
13,Tlemcen,Tianet,
13,Tlemcen,Tlemcen,
13,Tlemcen,Zenata,
14,Tiaret,"Ain Bouchekif",
14,Tiaret,"Ain Deheb",
14,Tiaret,"Ain El Hadid",
14,Tiaret,"Ain Kermes",
14,Tiaret,"Ain Zarit",
14,Tiaret,Bougara,
14,Tiaret,Chehaima,
14,Tiaret,Dahmouni,
14,Tiaret,"Djebilet Rosfa",
14,Tiaret,"Djillali Ben Amar",
14,Tiaret,Faidja,
14,Tiaret,Frenda,
14,Tiaret,Guertoufa,
14,Tiaret,Hamadia,
14,Tiaret,"Ksar Chellala",
14,Tiaret,Madna,
14,Tiaret,Mahdia,
14,Tiaret,"Mechraa Safa",
14,Tiaret,Medrissa,
14,Tiaret,Medroussa,
14,Tiaret,Meghila,
14,Tiaret,Mellakou,
14,Tiaret,Nadorah,
14,Tiaret,Naima,
14,Tiaret,"Oued Lilli",
14,Tiaret,Rahouia,
14,Tiaret,Rechaiga,
14,Tiaret,Sebaine,
14,Tiaret,Sebt,
14,Tiaret,Serghine,
14,Tiaret,"Si Abdelghani",
14,Tiaret,"Sidi Abderrahmane",
14,Tiaret,"Sidi Ali Mellal",
14,Tiaret,"Sidi Bakhti",
14,Tiaret,"Sidi Hosni",
14,Tiaret,Sougueur,
14,Tiaret,Tagdemt,
14,Tiaret,Takhemaret,
14,Tiaret,Tiaret,
14,Tiaret,Tidda,
14,Tiaret,Tousnina,
14,Tiaret,"Zmalet El Emir Abdelkade",
15,"Tizi Ouzou","Abi Youcef",
15,"Tizi Ouzou",Aghribs,
15,"Tizi Ouzou","Agouni Gueghrane",
15,"Tizi Ouzou","Ain El Hammam",
15,"Tizi Ouzou","Ain Zaouia",
15,"Tizi Ouzou","Ait Aggouacha",
15,"Tizi Ouzou","Ait Bouaddou",
15,"Tizi Ouzou","Ait Boumehdi",
15,"Tizi Ouzou","Ait Chafaa",
15,"Tizi Ouzou","Ait Khellili",
15,"Tizi Ouzou","Ait Mahmoud",
15,"Tizi Ouzou","Ait Oumalou",
15,"Tizi Ouzou","Ait Toudert",
15,"Tizi Ouzou","Ait Yahia",
15,"Tizi Ouzou","Ait Yahia Moussa",
15,"Tizi Ouzou",Akbil,
15,"Tizi Ouzou",Akerrou,
15,"Tizi Ouzou","Assi Youcef",
15,"Tizi Ouzou",Azazga,
15,"Tizi Ouzou",Azeffoun,
15,"Tizi Ouzou","Beni Aissi",
15,"Tizi Ouzou","Beni Douala",
15,"Tizi Ouzou","Beni Yenni",
15,"Tizi Ouzou","Beni Zikki",
15,"Tizi Ouzou","Beni Zmenzer",
15,"Tizi Ouzou",Boghni,
15,"Tizi Ouzou",Boudjima,
15,"Tizi Ouzou",Bounouh,
15,"Tizi Ouzou",Bouzeguene,
15,"Tizi Ouzou","Djebel Aissa Mimoun",
15,"Tizi Ouzou","Draa Ben Khedda",
15,"Tizi Ouzou","Draa El Mizan",
15,"Tizi Ouzou",Freha,
15,"Tizi Ouzou",Frikat,
15,"Tizi Ouzou",Iboudrarene,
15,"Tizi Ouzou",Idjeur,
15,"Tizi Ouzou",Iferhounene,
15,"Tizi Ouzou",Ifigha,
15,"Tizi Ouzou",Iflissen,
15,"Tizi Ouzou",Illilten,
15,"Tizi Ouzou","Illoula Oumalou",
15,"Tizi Ouzou",Imsouhal,
15,"Tizi Ouzou",Irdjen,
15,"Tizi Ouzou","Larba Nath Irathen",
15,"Tizi Ouzou","Larbaa Nath Irathen",
15,"Tizi Ouzou",M'kira,
15,"Tizi Ouzou",Maatkas,
15,"Tizi Ouzou",Makouda,
15,"Tizi Ouzou",Mechtras,
15,"Tizi Ouzou",Mekla,
15,"Tizi Ouzou",Mizrana,
15,"Tizi Ouzou",Ouacif,
15,"Tizi Ouzou",Ouadhias,
15,"Tizi Ouzou",Ouaguenoune,
15,"Tizi Ouzou","Sidi Naamane",
15,"Tizi Ouzou",Souamaa,
15,"Tizi Ouzou","Souk El Thenine",
15,"Tizi Ouzou",Tadmait,
15,"Tizi Ouzou",Tigzirt,
15,"Tizi Ouzou",Timizart,
15,"Tizi Ouzou",Tirmitine,
15,"Tizi Ouzou","Tizi Ghenif",
15,"Tizi Ouzou","Tizi N'tleta",
15,"Tizi Ouzou","Tizi Ouzou",
15,"Tizi Ouzou","Tizi Rached",
15,"Tizi Ouzou",Yakourene,
15,"Tizi Ouzou",Yatafene,
15,"Tizi Ouzou",Zekri,
16,Alger,"Ain Benian",
16,Alger,"Ain Taya",
16,Alger,"Alger Centre",
16,Alger,"Bab El Oued",
16,Alger,"Bab Ezzouar",
16,Alger,"Baba Hesen",
16,Alger,Bachedjerah,
16,Alger,"Bains Romains",
16,Alger,Baraki,
16,Alger,"Ben Aknoun",
16,Alger,"Beni Messous",
16,Alger,"Bir Mourad Rais",
16,Alger,"Bir Touta",
16,Alger,Birkhadem,
16,Alger,"Bologhine Ibnou Ziri",
16,Alger,"Bordj El Bahri",
16,Alger,"Bordj El Kiffan",
16,Alger,Bourouba,
16,Alger,Bouzareah,
16,Alger,Casbah,
16,Alger,Cheraga,
16,Alger,"Dar El Beida",
16,Alger,"Dely Ibrahim",
16,Alger,"Djasr Kasentina",
16,Alger,Douira,
16,Alger,Draria,
16,Alger,"El Achour",
16,Alger,"El Biar",
16,Alger,"El Harrach",
16,Alger,"El Madania",
16,Alger,"El Magharia",
16,Alger,"El Merssa",
16,Alger,"El Mouradia",
16,Alger,Herraoua,
16,Alger,"Hussein Dey",
16,Alger,Hydra,
16,Alger,Kheraisia,
16,Alger,Kouba,
16,Alger,"Les Eucalyptus",
16,Alger,Maalma,
16,Alger,"Mohamed Belouzdad",
16,Alger,Mohammadia,
16,Alger,"Oued Koriche",
16,Alger,"Oued Smar",
16,Alger,"Ouled Chebel",
16,Alger,"Ouled Fayet",
16,Alger,Rahmania,
16,Alger,"Rais Hamidou",
16,Alger,Reghaia,
16,Alger,Rouiba,
16,Alger,Sehaoula,
16,Alger,Setaouali,
16,Alger,"Sidi M'hamed",
16,Alger,"Sidi Moussa",
16,Alger,Souidania,
16,Alger,"Tessala El Merdja",
16,Alger,Zeralda,
17,Djelfa,"Ain Chouhada",
17,Djelfa,"Ain El Ibel",
17,Djelfa,"Ain Fekka",
17,Djelfa,"Ain Maabed",
17,Djelfa,"Ain Oussera",
17,Djelfa,Amourah,
17,Djelfa,Benhar,
17,Djelfa,Benyagoub,
17,Djelfa,Birine,
17,Djelfa,"Bouira Lahdab",
17,Djelfa,Charef,
17,Djelfa,"Dar Chioukh",
17,Djelfa,Deldoul,
17,Djelfa,Djelfa,
17,Djelfa,Douis,
17,Djelfa,"El Guedid",
17,Djelfa,"El Idrissia",
17,Djelfa,"El Khemis",
17,Djelfa,"Faidh El Botma",
17,Djelfa,Guernini,
17,Djelfa,Guettara,
17,Djelfa,"Had Sahary",
17,Djelfa,"Hassi Bahbah",
17,Djelfa,"Hassi El Euch",
17,Djelfa,"Hassi Fedoul",
17,Djelfa,"M Liliha",
17,Djelfa,Messaad,
17,Djelfa,Moudjebara,
17,Djelfa,"Oum Laadham",
17,Djelfa,"Sed Rahal",
17,Djelfa,Selmana,
17,Djelfa,"Sidi Baizid",
17,Djelfa,"Sidi Ladjel",
17,Djelfa,Tadmit,
17,Djelfa,Zaafrane,
17,Djelfa,Zaccar,
18,Jijel,"Bordj Tahar",
18,Jijel,"Boudria Beniyadjis",
18,Jijel,"Bouraoui Belhadef",
18,Jijel,"Boussif Ouled Askeur",
18,Jijel,Chahna,
18,Jijel,Chekfa,
18,Jijel,"Djemaa Beni Habibi",
18,Jijel,Djimla,
18,Jijel,"El Ancer",
18,Jijel,"El Aouana",
18,Jijel,"El Kennar Nouchfi",
18,Jijel,"El Milia",
18,Jijel,"Emir Abdelkader",
18,Jijel,Erraguene,
18,Jijel,Ghebala,
18,Jijel,Jijel,
18,Jijel,"Khiri Oued Adjoul",
18,Jijel,Kouas,
18,Jijel,Oudjana,
18,Jijel,"Ouled Rabah",
18,Jijel,"Ouled Yahia Khadrouch",
18,Jijel,"Selma Benziada",
18,Jijel,Settara,
18,Jijel,"Sidi Abdelaziz",
18,Jijel,"Sidi Marouf",
18,Jijel,Taher,
18,Jijel,Texena,
18,Jijel,"Ziama Mansouria",
19,Sétif,"Ain Abessa",
19,Sétif,"Ain Arnat",
19,Sétif,"Ain Azel",
19,Sétif,"Ain El Kebira",
19,Sétif,"Ain Lahdjar",
19,Sétif,"Ain Legradj",
19,Sétif,"Ain Oulmane",
19,Sétif,"Ain Roua",
19,Sétif,"Ain Sebt",
19,Sétif,"Ait Naoual Mezada",
19,Sétif,"Ait Tizi",
19,Sétif,Amoucha,
19,Sétif,Babor,
19,Sétif,"Bazer Sakra",
19,Sétif,"Beidha Bordj",
19,Sétif,Bellaa,
19,Sétif,"Beni Aziz",
19,Sétif,"Beni Chebana",
19,Sétif,"Beni Fouda",
19,Sétif,"Beni Mouhli",
19,Sétif,"Beni Ouartilane",
19,Sétif,"Beni Oussine",
19,Sétif,"Bir El Arch",
19,Sétif,"Bir Haddada",
19,Sétif,Bouandas,
19,Sétif,Bougaa,
19,Sétif,Bousselam,
19,Sétif,Boutaleb,
19,Sétif,Dehamcha,
19,Sétif,Djemila,
19,Sétif,"Draa Kebila",
19,Sétif,"El Eulma",
19,Sétif,"El Ouldja",
19,Sétif,"El Ouricia",
19,Sétif,Guellal,
19,Sétif,"Guelta Zerka",
19,Sétif,Guenzet,
19,Sétif,Guidjel,
19,Sétif,"Hamam Soukhna",
19,Sétif,Hamma,
19,Sétif,"Hammam Guergour",
19,Sétif,Harbil,
19,Sétif,"Ksar El Abtal",
19,Sétif,Maaouia,
19,Sétif,Maouaklane,
19,Sétif,Mezloug,
19,Sétif,"Oued El Barad",
19,Sétif,"Ouled Addouane",
19,Sétif,"Ouled Sabor",
19,Sétif,"Ouled Si Ahmed",
19,Sétif,"Ouled Tebben",
19,Sétif,Rosfa,
19,Sétif,"Salah Bey",
19,Sétif,"Serdj El Ghoul",
19,Sétif,Setif,
19,Sétif,Tachouda,
19,Sétif,"Tala Ifacene",
19,Sétif,Taya,
19,Sétif,Tella,
19,Sétif,"Tizi N'bechar",
20,Saïda,"Ain El Hadjar",
20,Saïda,"Ain Sekhouna",
20,Saïda,"Ain Soltane",
20,Saïda,"Doui Thabet",
20,Saïda,"El Hassasna",
20,Saïda,Hounet,
20,Saïda,Maamora,
20,Saïda,"Moulay Larbi",
20,Saïda,"Ouled Brahim",
20,Saïda,"Ouled Khaled",
20,Saïda,Saida,
20,Saïda,"Sidi Ahmed",
20,Saïda,"Sidi Amar",
20,Saïda,"Sidi Boubekeur",
20,Saïda,Tircine,
20,Saïda,Youb,
21,Skikda,"Ain Bouziane",
21,Skikda,"Ain Charchar",
21,Skikda,"Ain Kechera",
21,Skikda,"Ain Zouit",
21,Skikda,Azzaba,
21,Skikda,"Bekkouche Lakhdar",
21,Skikda,"Ben Azzouz",
21,Skikda,"Beni Bechir",
21,Skikda,"Beni Oulbane",
21,Skikda,"Beni Zid",
21,Skikda,"Bin El Ouiden",
21,Skikda,Bouchetata,
21,Skikda,Cheraia,
21,Skikda,Collo,
21,Skikda,"Djendel Saadi Mohamed",
21,Skikda,"El Arrouch",
21,Skikda,"El Ghedir",
21,Skikda,"El Hadaiek",
21,Skikda,"El Marsa",
21,Skikda,"Emjez Edchich",
21,Skikda,"Es Sebt",
21,Skikda,Filfila,
21,Skikda,"Hamadi Krouma",
21,Skikda,Kanoua,
21,Skikda,Kerkera,
21,Skikda,"Khenag Mayoum",
21,Skikda,"Oued Zhour",
21,Skikda,"Ouldja Boulbalout",
21,Skikda,"Ouled Attia",
21,Skikda,"Ouled Habbeba",
21,Skikda,"Oum Toub",
21,Skikda,"Ramdane Djamel",
21,Skikda,"Salah Bouchaour",
21,Skikda,"Sidi Mezghiche",
21,Skikda,Skikda,
21,Skikda,Tamalous,
21,Skikda,Zerdezas,
21,Skikda,Zitouna,
22,"Sidi Bel Abbès","Ain Adden",
22,"Sidi Bel Abbès","Ain El Berd",
22,"Sidi Bel Abbès","Ain Kada",
22,"Sidi Bel Abbès","Ain Thrid",
22,"Sidi Bel Abbès","Ain Tindamine",
22,"Sidi Bel Abbès",Amarnas,
22,"Sidi Bel Abbès","Badredine El Mokrani",
22,"Sidi Bel Abbès",Belarbi,
22,"Sidi Bel Abbès","Ben Badis",
22,"Sidi Bel Abbès","Benachiba Chelia",
22,"Sidi Bel Abbès","Bir El Hammam",
22,"Sidi Bel Abbès","Boudjebaa El Bordj",
22,"Sidi Bel Abbès",Boukhanafis,
22,"Sidi Bel Abbès","Chetouane Belaila",
22,"Sidi Bel Abbès",Dhaya,
22,"Sidi Bel Abbès","El Hacaiba",
22,"Sidi Bel Abbès","Hassi Dahou",
22,"Sidi Bel Abbès","Hassi Zahana",
22,"Sidi Bel Abbès",Lamtar,
22,"Sidi Bel Abbès",M'cid,
22,"Sidi Bel Abbès",Makedra,
22,"Sidi Bel Abbès",Marhoum,
22,"Sidi Bel Abbès",Merine,
22,"Sidi Bel Abbès",Mezaourou,
22,"Sidi Bel Abbès","Mostefa Ben Brahim",
22,"Sidi Bel Abbès","Moulay Slissen",
22,"Sidi Bel Abbès","Oued Sebaa",
22,"Sidi Bel Abbès","Oued Sefioun",
22,"Sidi Bel Abbès","Oued Taourira",
22,"Sidi Bel Abbès","Ras El Ma",
22,"Sidi Bel Abbès","Redjem Demouche",
22,"Sidi Bel Abbès","Sehala Thaoura",
22,"Sidi Bel Abbès",Sfissef,
22,"Sidi Bel Abbès","Sidi Ali Benyoub",
22,"Sidi Bel Abbès","Sidi Ali Boussidi",
22,"Sidi Bel Abbès","Sidi Bel Abbes",
22,"Sidi Bel Abbès","Sidi Brahim",
22,"Sidi Bel Abbès","Sidi Chaib",
22,"Sidi Bel Abbès","Sidi Dahou Zairs",
22,"Sidi Bel Abbès","Sidi Hamadouche",
22,"Sidi Bel Abbès","Sidi Khaled",
22,"Sidi Bel Abbès","Sidi Lahcene",
22,"Sidi Bel Abbès","Sidi Yacoub",
22,"Sidi Bel Abbès",Tabia,
22,"Sidi Bel Abbès",Tafissour,
22,"Sidi Bel Abbès",Taoudmout,
22,"Sidi Bel Abbès",Teghalimet,
22,"Sidi Bel Abbès",Telagh,
22,"Sidi Bel Abbès",Tenira,
22,"Sidi Bel Abbès",Tessala,
